epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.486,2.22452,3.74206,1.64293,0.13299,0.3,0.13558,0.04668,2.62512,3.04023,1.91663,3.334e-05,3.334e-05,3.334e-05
2,4.73,2.1824,3.75776,1.61756,0.12795,0.35,0.13171,0.05098,2.58163,3.10019,1.82782,8.29374e-05,8.29374e-05,8.29374e-05
3,5.758,1.92198,3.27242,1.45207,0.7984,0.79303,0.80211,0.54541,1.5732,1.67687,1.02748,0.00013204,0.00013204,0.00013204
4,6.744,1.27905,1.13242,1.00704,0.9798,0.975,0.99333,0.69029,1.30099,1.38648,0.94232,0.000180647,0.000180647,0.000180647
5,7.713,1.11104,0.90404,0.92301,0.87611,0.97,0.976,0.65831,1.29862,1.47237,0.94802,0.000228759,0.000228759,0.000228759
6,8.545,1.03262,0.76328,0.89538,0.8792,0.93859,0.98457,0.61863,1.40589,1.23657,1.00765,0.000276376,0.000276376,0.000276376
7,9.483,0.9924,0.67198,0.90898,0.85687,0.965,0.96832,0.60722,1.49196,1.15484,1.03729,0.000323498,0.000323498,0.000323498
8,10.347,1.06879,0.68538,0.9209,0.9388,0.98,0.99232,0.7174,1.22639,0.90688,0.95572,0.000370125,0.000370125,0.000370125
9,11.312,1.07339,0.66306,0.91814,0.90851,0.96,0.97291,0.61669,1.50704,0.96748,1.06552,0.000416257,0.000416257,0.000416257
10,12.174,0.95741,0.62391,0.92333,0.75361,0.93,0.93173,0.6738,1.20087,0.96995,0.95938,0.000461893,0.000461893,0.000461893
11,13.069,0.98188,0.57344,0.89367,0.63052,0.93,0.96879,0.65494,1.32866,1.00208,1.01891,0.000507035,0.000507035,0.000507035
12,13.921,1.0181,0.58097,0.92067,0.65035,0.97916,0.99495,0.70083,1.27069,0.96388,0.97653,0.000551681,0.000551681,0.000551681
13,14.758,1.03993,0.58299,0.92995,0.67142,0.985,0.99485,0.68969,1.26781,1.14076,0.99341,0.000595832,0.000595832,0.000595832
14,15.614,0.9738,0.57758,0.90465,0.61278,0.93169,0.96934,0.66968,1.16207,1.05081,0.95059,0.000639489,0.000639489,0.000639489
15,16.551,0.93881,0.56416,0.88479,0.83967,0.96284,0.99073,0.65204,1.35012,0.91034,1.01116,0.00068265,0.00068265,0.00068265
16,17.396,0.94345,0.53873,0.8858,0.56177,0.985,0.9939,0.70207,1.26553,1.77252,1.00983,0.000725316,0.000725316,0.000725316
17,18.231,0.97379,0.53887,0.91685,0.60332,0.99154,0.995,0.66461,1.28538,1.54186,1.02436,0.000767487,0.000767487,0.000767487
18,19.085,0.95665,0.539,0.9076,0.57803,1,0.995,0.69167,1.23879,1.42488,1.00758,0.000809163,0.000809163,0.000809163
19,19.886,1.00319,0.54523,0.93358,0.59084,0.99217,0.995,0.662,1.27618,1.37994,1.01169,0.000850343,0.000850343,0.000850343
20,20.714,0.95753,0.5113,0.90033,0.64631,0.97916,0.995,0.69645,1.30276,1.07661,1.00324,0.000891029,0.000891029,0.000891029
21,21.555,0.97707,0.4993,0.8978,0.64522,0.98347,0.995,0.67943,1.28477,1.04214,1.01269,0.00093122,0.00093122,0.00093122
22,22.395,0.91002,0.50294,0.901,0.65438,0.99071,0.995,0.68763,1.26339,1.07189,1.00946,0.000970915,0.000970915,0.000970915
23,23.274,0.9407,0.4869,0.89616,0.62609,0.98893,0.995,0.70446,1.19679,0.98819,0.98105,0.00101012,0.00101012,0.00101012
24,24.092,0.94545,0.49265,0.91117,0.92187,0.98491,0.995,0.72212,1.17555,1.06131,0.94927,0.00104882,0.00104882,0.00104882
25,24.929,0.89558,0.50325,0.89023,0.76686,0.9546,0.995,0.72279,1.20523,0.99456,0.95849,0.00108703,0.00108703,0.00108703
26,25.797,0.91646,0.48981,0.9021,0.7621,0.98115,0.995,0.71173,1.23501,1.11106,0.96216,0.00112475,0.00112475,0.00112475
27,26.62,0.91055,0.47891,0.88973,0.89813,0.98244,0.995,0.72596,1.21839,1.0725,0.95476,0.00116197,0.00116197,0.00116197
28,27.483,0.94294,0.4973,0.88019,0.59928,1,0.995,0.72234,1.20472,1.29065,0.95152,0.00119869,0.00119869,0.00119869
29,28.25,0.90286,0.51619,0.90108,0.58336,1,0.995,0.7308,1.17585,1.54131,0.93131,0.00123492,0.00123492,0.00123492
30,29.134,0.91474,0.50434,0.88516,0.86922,1,0.995,0.74913,1.16471,1.04959,0.93623,0.00127065,0.00127065,0.00127065
31,30.09,0.92982,0.49635,0.89399,0.63297,0.99987,0.995,0.72826,1.27382,1.36208,0.96745,0.00130589,0.00130589,0.00130589
32,30.911,0.92463,0.48708,0.88329,0.59294,1,0.99143,0.74361,1.15869,1.8318,0.93613,0.00134064,0.00134064,0.00134064
33,31.708,0.99096,0.52042,0.89456,0.58206,1,0.99381,0.74027,1.15835,1.66029,0.93088,0.00137489,0.00137489,0.00137489
34,32.543,0.93215,0.49912,0.90643,0.68704,1,0.98179,0.72501,1.14752,1.34304,0.93025,0.0013947,0.0013947,0.0013947
35,33.35,0.91983,0.48264,0.90529,0.56747,1,0.995,0.71723,1.22028,1.6566,0.94776,0.00138644,0.00138644,0.00138644
36,34.178,0.95365,0.49111,0.89675,0.59609,0.99779,0.995,0.72974,1.198,1.34171,0.93869,0.00137819,0.00137819,0.00137819
37,34.982,0.911,0.46827,0.89021,0.632,0.99808,0.995,0.73125,1.13204,1.41098,0.92335,0.00136994,0.00136994,0.00136994
38,35.889,0.91545,0.48098,0.88383,0.64097,0.98893,0.995,0.7433,1.14896,1.08347,0.93665,0.00136169,0.00136169,0.00136169
39,36.711,0.94019,0.48844,0.90567,0.96207,0.66299,0.78505,0.51115,1.2466,0.78713,0.95328,0.00135344,0.00135344,0.00135344
40,37.528,0.93482,0.49148,0.90276,0.54169,0.55,0.54191,0.32522,1.45609,1.04185,1.02087,0.00134519,0.00134519,0.00134519
41,38.349,0.93689,0.47766,0.87668,0.68612,0.725,0.69339,0.36708,1.44882,0.87425,1.01488,0.00133693,0.00133693,0.00133693
42,39.185,0.94808,0.48095,0.90453,0.7892,1,0.995,0.73171,1.15158,0.78365,0.91491,0.00132868,0.00132868,0.00132868
43,40.003,0.90619,0.47084,0.89257,0.89183,1,0.995,0.72496,1.11647,0.93909,0.90858,0.00132043,0.00132043,0.00132043
44,40.851,0.91007,0.46777,0.87411,0.94738,0.99765,0.995,0.73286,1.15483,0.85245,0.93222,0.00131218,0.00131218,0.00131218
45,41.676,0.90381,0.46313,0.88149,0.87327,0.98051,0.995,0.73167,1.15049,0.79711,0.93206,0.00130393,0.00130393,0.00130393
46,42.621,0.94032,0.46454,0.90067,0.97866,0.99814,0.995,0.73142,1.1613,0.72147,0.93438,0.00129568,0.00129568,0.00129568
47,43.41,0.93874,0.47528,0.89527,0.93562,0.97866,0.995,0.7399,1.13735,0.73692,0.9256,0.00128742,0.00128742,0.00128742
48,44.222,0.90515,0.46495,0.89057,0.64877,1,0.995,0.72245,1.12156,0.83279,0.91403,0.00127917,0.00127917,0.00127917
49,45.029,0.91977,0.46118,0.88682,0.79239,0.972,0.995,0.73394,1.09467,0.8279,0.9058,0.00127092,0.00127092,0.00127092
50,45.875,0.91796,0.48784,0.8854,0.65044,0.99604,0.995,0.74353,1.11603,0.78544,0.91542,0.00126267,0.00126267,0.00126267
51,46.698,0.93541,0.47659,0.89999,0.72291,0.99501,0.995,0.72678,1.18208,0.73588,0.93378,0.00125442,0.00125442,0.00125442
52,47.613,0.8711,0.4548,0.88175,0.94088,0.98301,0.99495,0.77053,1.0458,0.67711,0.89289,0.00124617,0.00124617,0.00124617
53,48.564,0.8715,0.44345,0.88029,0.89219,0.98229,0.99401,0.75653,1.05737,0.62578,0.89148,0.00123791,0.00123791,0.00123791
